instance,algorithm,n_customers,n_scenarios,delivery_ratio,net_demand,mean_abs_demand,demand_variance,ordering_sensitivity,objective,gap,n_nodes,solve_time_s,cuts_added,proved_optimal,total_distance,expected_penalty,n_vehicles,avg_route_penalty,max_route_peak_mean,p_any_overflow,overflow_position
inst_n10_dr20_0,Baseline_Robust,10,50,0.7,-7.789040741880039,1.7254949406374336,102.75769867428059,0.4998088916106266,inf,100.0,1,0.006967067718505859,"{'route_capacity': 20, 'sec': 4}",False,,,,,,,
inst_n10_dr20_0,STORM_ALNS_Only,10,50,0.7,-7.789040741880039,1.7254949406374336,102.75769867428059,0.4998088916106266,168.78911729903047,,0,0.0,{},False,20.6707863563095,48.11833094272096,1.0,48.11833094272096,0.2199879196103201,0.0,[]
inst_n10_dr20_0,STORM_Exact,10,50,0.7,-7.789040741880039,1.7254949406374336,102.75769867428059,0.4998088916106266,185.8891657066783,0.009734311406928056,11917,15.84917688369751,"{'route': 6580, 'jensen_set': 0, 'rci': 0, 'sec': 368}",True,53.844086090315784,32.04507961636253,1.0,32.04507961636253,4.51296641263683,0.0,[]
inst_n10_dr20_1,Baseline_Robust,10,50,0.6,-6.813319977891801,1.537962494740794,79.39101916275186,0.3740185270662677,inf,100.0,1,0.0006349086761474609,"{'route_capacity': 20, 'sec': 4}",False,,,,,,,
inst_n10_dr20_1,STORM_ALNS_Only,10,50,0.6,-6.813319977891801,1.537962494740794,79.39101916275186,0.3740185270662677,166.8250659893693,,0,0.0,{},False,18.364545640782538,48.46052034858677,1.0,48.46052034858677,0.7419725349945637,0.0,[]
inst_n10_dr20_1,STORM_Exact,10,50,0.6,-6.813319977891801,1.537962494740794,79.39101916275186,0.3740185270662677,191.9967218860763,9.912741859163841,19016,30.0013210773468,"{'route': 11575, 'jensen_set': 0, 'rci': 0, 'sec': 562}",False,50.4200415942028,41.57668029187349,1.0,41.57668029187349,2.3244799269223493,0.0,[]
inst_n10_dr20_2,Baseline_Robust,10,50,0.9,-17.235260521147534,1.7762024779618586,98.21969218580796,0.5972202840952008,inf,100.0,1,0.0005428791046142578,"{'route_capacity': 20, 'sec': 4}",False,,,,,,,
inst_n10_dr20_2,STORM_ALNS_Only,10,50,0.9,-17.235260521147534,1.7762024779618586,98.21969218580796,0.5972202840952008,150.68031342344284,,0,0.0,{},False,18.653250308712792,32.02706311473004,1.0,32.02706311473004,0.263382129235526,0.0,[]
inst_n10_dr20_2,STORM_Exact,10,50,0.9,-17.235260521147534,1.7762024779618586,98.21969218580796,0.5972202840952008,159.28551144222644,3.5268935055929833,19878,30.00126004219055,"{'route': 8909, 'jensen_set': 0, 'rci': 0, 'sec': 447}",False,28.54560437818129,30.739907064045155,1.0,30.739907064045155,0.0,0.0,[]
inst_n10_dr40_0,Baseline_Robust,10,50,0.8,-11.406724736508673,2.0416982351199344,103.70212479643115,0.4998088916106266,inf,100.0,1,0.024465084075927734,"{'route_capacity': 20, 'sec': 4}",False,,,,,,,
inst_n10_dr40_0,STORM_ALNS_Only,10,50,0.8,-11.406724736508673,2.0416982351199344,103.70212479643115,0.4998088916106266,163.54120869692056,,0,0.0,{},False,20.6707863563095,42.870422340611064,1.0,42.870422340611064,0.0,0.0,[]
inst_n10_dr40_0,STORM_Exact,10,50,0.8,-11.406724736508673,2.0416982351199344,103.70212479643115,0.4998088916106266,181.71591323982244,0.009638701420538992,3713,1.9578990936279297,"{'route': 1742, 'jensen_set': 0, 'rci': 0, 'sec': 163}",True,53.844086090315784,27.871827149506665,1.0,27.871827149506665,4.505128807345335,0.0,[]
inst_n10_dr40_1,Baseline_Robust,10,50,0.6,-7.042286312969178,1.5681068749978597,79.72862240385606,0.3740185270662677,inf,100.0,1,0.0007958412170410156,"{'route_capacity': 20, 'sec': 4}",False,,,,,,,
inst_n10_dr40_1,STORM_ALNS_Only,10,50,0.6,-7.042286312969178,1.5681068749978597,79.72862240385606,0.3740185270662677,166.6009448013357,,0,0.0,{},False,18.364545640782538,48.23639916055316,1.0,48.23639916055316,0.7991622679171551,0.0,[]
inst_n10_dr40_1,STORM_Exact,10,50,0.6,-7.042286312969178,1.5681068749978597,79.72862240385606,0.3740185270662677,190.83169385973463,9.543195697458032,15484,30.001412868499756,"{'route': 9993, 'jensen_set': 0, 'rci': 0, 'sec': 499}",False,50.4200415942028,40.4116522655318,1.0,40.4116522655318,2.665482456664957,0.0,[]
inst_n10_dr40_2,Baseline_Robust,10,50,0.9,-19.701902071417884,2.0293090794616035,96.79977818145953,0.5972202840952008,inf,100.0,1,0.0006067752838134766,"{'route_capacity': 20, 'sec': 4}",False,,,,,,,
inst_n10_dr40_2,STORM_ALNS_Only,10,50,0.9,-19.701902071417884,2.0293090794616035,96.79977818145953,0.5972202840952008,146.07564571675994,,0,0.0,{},False,18.653250308712792,27.422395408047144,1.0,27.422395408047144,0.29559436159907715,0.0,[]
inst_n10_dr40_2,STORM_Exact,10,50,0.9,-19.701902071417884,2.0293090794616035,96.79977818145953,0.5972202840952008,152.93640285780052,0.009084903131023149,4202,1.7500009536743164,"{'route': 1613, 'jensen_set': 0, 'rci': 0, 'sec': 185}",True,28.54560437818129,24.390798479619242,1.0,24.390798479619242,0.0,0.0,[]
inst_n12_dr20_0,Baseline_Robust,12,50,0.6666666666666666,-11.349194753212712,1.4355589076893027,98.2716203873249,0.6514978242787919,inf,100.0,16238,30.00159215927124,"{'route_capacity': 8777, 'sec': 617}",False,,,,,,,
inst_n12_dr20_0,STORM_ALNS_Only,12,50,0.6666666666666666,-11.349194753212712,1.4355589076893027,98.2716203873249,0.6514978242787919,162.7611876283973,,0,0.0,{},False,17.187406224158167,45.57378140423914,1.0,45.57378140423914,0.0,0.0,[]
inst_n12_dr20_0,STORM_Exact,12,50,0.6666666666666666,-11.349194753212712,1.4355589076893027,98.2716203873249,0.6514978242787919,175.98830879372443,9.532232083916572,23346,30.001460790634155,"{'route': 8897, 'jensen_set': 0, 'rci': 0, 'sec': 761}",False,41.34408195867315,34.644226835051285,1.0,34.644226835051285,0.29663880380565194,0.0,[]
inst_n12_dr20_1,Baseline_Robust,12,50,0.75,-18.76460834485427,2.1801901655206843,85.29198694539919,0.8271064365856131,inf,100.0,17774,30.001001119613647,"{'route_capacity': 10019, 'sec': 488}",False,,,,,,,
inst_n12_dr20_1,STORM_ALNS_Only,12,50,0.75,-18.76460834485427,2.1801901655206843,85.29198694539919,0.8271064365856131,152.24615709724154,,0,0.0,{},False,19.7495694138438,32.49658768339774,1.0,32.49658768339774,0.0,0.0,[]
inst_n12_dr20_1,STORM_Exact,12,50,0.75,-18.76460834485427,2.1801901655206843,85.29198694539919,0.8271064365856131,167.8687218983735,7.998161323917801,21041,30.000571966171265,"{'route': 8229, 'jensen_set': 0, 'rci': 0, 'sec': 692}",False,43.858993410134524,24.009728488238988,1.0,24.009728488238988,0.0,0.0,[]
inst_n12_dr20_2,Baseline_Robust,12,50,0.8333333333333334,-13.281171852323093,1.8115929420649712,98.35315371385228,0.5587331632514201,inf,100.0,17788,30.001410007476807,"{'route_capacity': 10063, 'sec': 651}",False,,,,,,,
inst_n12_dr20_2,STORM_ALNS_Only,12,50,0.8333333333333334,-13.281171852323093,1.8115929420649712,98.35315371385228,0.5587331632514201,168.41185920434992,,0,0.0,{},False,16.220873871740284,52.19098533260963,1.0,52.19098533260963,2.3114828773537472,0.0,[]
inst_n12_dr20_2,STORM_Exact,12,50,0.8333333333333334,-13.281171852323093,1.8115929420649712,98.35315371385228,0.5587331632514201,178.98062154880023,11.249256147122034,18077,30.00117301940918,"{'route': 9521, 'jensen_set': 0, 'rci': 0, 'sec': 728}",False,40.06859282133889,38.91202872746133,1.0,38.91202872746133,4.228971726228282,0.0,[]
inst_n12_dr40_0,Baseline_Robust,12,50,0.75,-19.31133353767714,1.7317473187723398,99.88720884164998,0.6514978242787919,inf,100.0,18080,30.00045609474182,"{'route_capacity': 9972, 'sec': 645}",False,,,,,,,
inst_n12_dr40_0,STORM_ALNS_Only,12,50,0.75,-19.31133353767714,1.7317473187723398,99.88720884164998,0.6514978242787919,140.9796037248858,,0,0.0,{},False,17.187406224158167,23.79219750072764,1.0,23.79219750072764,0.04543617312039033,0.0,[]
inst_n12_dr40_0,STORM_Exact,12,50,0.75,-19.31133353767714,1.7317473187723398,99.88720884164998,0.6514978242787919,158.8471827035142,0.009920518498926174,6685,4.6442670822143555,"{'route': 2431, 'jensen_set': 0, 'rci': 0, 'sec': 250}",True,35.57578582435902,23.271396879155148,1.0,23.271396879155148,0.0,0.0,[]
inst_n12_dr40_1,Baseline_Robust,12,50,0.6666666666666666,-11.022039093170598,1.7586891853245483,85.71409034903921,0.8271064365856131,inf,100.0,16512,30.000586986541748,"{'route_capacity': 9274, 'sec': 472}",False,,,,,,,
inst_n12_dr40_1,STORM_ALNS_Only,12,50,0.6666666666666666,-11.022039093170598,1.7586891853245483,85.71409034903921,0.8271064365856131,159.78208091299445,,0,0.0,{},False,19.7495694138438,40.032511499150644,1.0,40.032511499150644,0.0,0.0,[]
inst_n12_dr40_1,STORM_Exact,12,50,0.6666666666666666,-11.022039093170598,1.7586891853245483,85.71409034903921,0.8271064365856131,181.82025376239574,11.769210364838804,20378,30.000475883483887,"{'route': 8831, 'jensen_set': 0, 'rci': 0, 'sec': 720}",False,49.1272931323492,32.69296063004654,1.0,32.69296063004654,2.56111414220924,0.0,[]
inst_n12_dr40_2,Baseline_Robust,12,50,0.9166666666666666,-13.601126123884141,1.540633550304898,97.57328279086677,0.5587331632514201,inf,100.0,16399,30.001625776290894,"{'route_capacity': 9093, 'sec': 618}",False,,,,,,,
inst_n12_dr40_2,STORM_ALNS_Only,12,50,0.9166666666666666,-13.601126123884141,1.540633550304898,97.57328279086677,0.5587331632514201,166.47144608822038,,0,0.0,{},False,16.220873871740284,50.25057221648008,1.0,50.25057221648008,0.8157257329769485,0.0,[]
inst_n12_dr40_2,STORM_Exact,12,50,0.9166666666666666,-13.601126123884141,1.540633550304898,97.57328279086677,0.5587331632514201,181.03536925959776,12.782659363099022,16318,30.032377004623413,"{'route': 8342, 'jensen_set': 0, 'rci': 0, 'sec': 689}",False,40.06859282133889,40.96677643825889,1.0,40.96677643825889,2.071956338944702,0.0,[]
inst_n14_dr20_0,Baseline_Robust,14,50,0.7857142857142857,-11.939687781944954,1.1727103521297066,93.4031117506048,0.4673540321190795,inf,100.0,18008,30.000619888305664,"{'route_capacity': 8103, 'sec': 837}",False,,,,,,,
inst_n14_dr20_0,STORM_ALNS_Only,14,50,0.7857142857142857,-11.939687781944954,1.1727103521297066,93.4031117506048,0.4673540321190795,181.09424232001737,,0,0.0,{},False,19.641697800102335,61.45254451991504,1.0,61.45254451991504,0.2639935707727957,0.0,[]
inst_n14_dr20_0,STORM_Exact,14,50,0.7857142857142857,-11.939687781944954,1.1727103521297066,93.4031117506048,0.4673540321190795,177.32342626287326,13.152109102926065,16402,30.00699210166931,"{'route': 6931, 'jensen_set': 0, 'rci': 0, 'sec': 921}",False,34.77819227336164,42.54523398951162,1.0,42.54523398951162,0.0,0.0,[]
inst_n14_dr20_1,Baseline_Robust,14,50,0.7142857142857143,-15.121578321678626,1.6341187692432828,92.09734344647545,0.4960198662493201,inf,100.0,21336,30.000460863113403,"{'route_capacity': 10262, 'sec': 1133}",False,,,,,,,
inst_n14_dr20_1,STORM_ALNS_Only,14,50,0.7142857142857143,-15.121578321678626,1.6341187692432828,92.09734344647545,0.4960198662493201,187.97677432762444,,0,0.0,{},False,22.823110519989555,65.15366380763489,1.0,65.15366380763489,0.0,0.0,[]
inst_n14_dr20_1,STORM_Exact,14,50,0.7142857142857143,-15.121578321678626,1.6341187692432828,92.09734344647545,0.4960198662493201,197.0726970520286,14.10235126604705,23014,30.000308990478516,"{'route': 7829, 'jensen_set': 0, 'rci': 0, 'sec': 1049}",False,49.181636914913604,47.891060137114984,1.0,47.891060137114984,0.0,0.0,[]
inst_n14_dr20_2,Baseline_Robust,14,50,0.8571428571428571,-14.335308238719655,1.6469219976826626,99.78066104488299,0.5981796562391992,inf,100.0,18550,30.001405954360962,"{'route_capacity': 9328, 'sec': 769}",False,,,,,,,
inst_n14_dr20_2,STORM_ALNS_Only,14,50,0.8571428571428571,-14.335308238719655,1.6469219976826626,99.78066104488299,0.5981796562391992,191.86823784046803,,0,0.0,{},False,18.05884619747815,73.80939164298988,1.0,73.80939164298988,0.0,0.0,[]
inst_n14_dr20_2,STORM_Exact,14,50,0.8571428571428571,-14.335308238719655,1.6469219976826626,99.78066104488299,0.5981796562391992,186.5337388023852,15.65036714388604,20958,30.000782012939453,"{'route': 7347, 'jensen_set': 0, 'rci': 0, 'sec': 968}",False,38.30829130105145,48.22544750133376,1.0,48.22544750133376,0.0,0.0,[]
inst_n14_dr40_0,Baseline_Robust,14,50,0.7857142857142857,-10.979652456988957,1.4559038289750852,93.48796931351391,0.4673540321190795,inf,100.0,21363,30.000823974609375,"{'route_capacity': 9816, 'sec': 903}",False,,,,,,,
inst_n14_dr40_0,STORM_ALNS_Only,14,50,0.7857142857142857,-10.979652456988957,1.4559038289750852,93.48796931351391,0.4673540321190795,175.48942843618596,,0,0.0,{},False,19.641697800102335,55.84773063608361,1.0,55.84773063608361,1.8238884827678814,0.0,[]
inst_n14_dr40_0,STORM_Exact,14,50,0.7857142857142857,-10.979652456988957,1.4559038289750852,93.48796931351391,0.4673540321190795,180.69207227645924,14.989966443370653,17688,30.000366926193237,"{'route': 7075, 'jensen_set': 1, 'rci': 0, 'sec': 950}",False,34.77819227336164,45.913880003097596,1.0,45.913880003097596,0.0,0.0,[]
inst_n14_dr40_1,Baseline_Robust,14,50,0.8571428571428571,-20.30774792910766,1.6948569832712186,92.48251581103428,0.4960198662493201,inf,100.0,20079,30.000833988189697,"{'route_capacity': 9565, 'sec': 1102}",False,,,,,,,
inst_n14_dr40_1,STORM_ALNS_Only,14,50,0.8571428571428571,-20.30774792910766,1.6948569832712186,92.48251581103428,0.4960198662493201,170.38799058991373,,0,0.0,{},False,22.823110519989555,47.56488006992418,1.0,47.56488006992418,0.0,0.0,[]
inst_n14_dr40_1,STORM_Exact,14,50,0.8571428571428571,-20.30774792910766,1.6948569832712186,92.48251581103428,0.4960198662493201,187.93630665128603,15.461249467718263,22568,30.00037693977356,"{'route': 7365, 'jensen_set': 0, 'rci': 0, 'sec': 1051}",False,42.76204829855011,45.17425835273594,1.0,45.17425835273594,0.0,0.0,[]
inst_n14_dr40_2,Baseline_Robust,14,50,0.7857142857142857,-11.917485536487717,1.6107120945926565,98.88140031006512,0.5981796562391992,inf,100.0,18663,30.000900983810425,"{'route_capacity': 9403, 'sec': 772}",False,,,,,,,
inst_n14_dr40_2,STORM_ALNS_Only,14,50,0.7857142857142857,-11.917485536487717,1.6107120945926565,98.88140031006512,0.5981796562391992,197.58159986180243,,0,0.0,{},False,18.05884619747815,79.52275366432428,1.0,79.52275366432428,0.0,0.0,[]
inst_n14_dr40_2,STORM_Exact,14,50,0.7857142857142857,-11.917485536487717,1.6107120945926565,98.88140031006512,0.5981796562391992,188.62886810676238,21.312435652586935,23838,30.001788854599,"{'route': 8515, 'jensen_set': 0, 'rci': 0, 'sec': 1207}",False,30.40832568433547,58.22054242242691,1.0,58.22054242242691,0.0,0.0,[]
